date,open,high,low,close,adj_close,volume,H-L,O-C,7_DAYS_MA,14_DAYS_MA,21_DAYS_MA,7_DAYS_STD_DEV
2021-09-16,2902.42,2904.0,2868.3272,2887.47,2887.47,1014942.0,35.672799999999825,-14.950000000000273,2880.4814285714283,2891.4364285714287,2861.4257142857145,23.332721964699708
2021-09-17,2875.97,2884.99,2821.23,2829.27,2829.27,3001991.0,63.75999999999976,-46.69999999999982,2870.71,2887.026428571429,2866.0861904761905,28.651041865808487
2021-09-20,2780.0035,2787.25,2741.06,2780.34,2780.34,1745886.0,46.190000000000055,0.33650000000034197,2853.862857142857,2877.808571428571,2868.089523809524,41.52447660283309
2021-09-21,2802.34,2816.2323,2778.11,2792.93,2792.93,906469.0,38.122299999999996,-9.41000000000031,2847.3642857142863,2869.5007142857144,2869.2414285714285,47.47701930303934
2021-09-22,2801.01,2831.67,2789.435,2818.77,2818.77,1103390.0,42.23500000000013,17.759999999999764,2840.145714285714,2862.4957142857143,2869.0880952380953,47.42732575813093
2021-09-23,2832.19,2845.0493,2821.93,2836.53,2836.53,863805.0,23.119300000000294,4.3400000000001455,2835.632857142857,2859.077857142857,2868.543333333333,45.79675924275994
2021-09-24,2818.92,2858.07,2817.01,2852.66,2852.66,747467.0,41.059999999999945,33.73999999999978,2828.281428571429,2856.0178571428573,2868.2414285714285,36.06750450126644
2021-09-27,2831.71,2850.0,2810.0,2830.02,2830.02,942204.0,40.0,-1.6900000000000546,2820.074285714286,2850.277857142857,2867.6490476190475,25.27655228140553
2021-09-28,2781.77,2792.13,2714.0,2723.68,2723.68,2109483.0,78.13000000000011,-58.090000000000146,2804.9900000000002,2837.85,2859.680952380952,43.68060591761441
2021-09-29,2742.1938,2747.97,2685.0,2690.42,2690.42,1316861.0,62.9699999999998,-51.77379999999994,2792.1442857142856,2823.003571428571,2849.253809523809,61.6597488526192
2021-09-30,2686.5,2711.8,2660.0,2665.31,2665.31,1768199.0,51.80000000000018,-21.190000000000055,2773.912857142857,2810.6385714285716,2837.6380952380955,78.07173148547156
2021-10-01,2671.09,2741.42,2667.55,2729.25,2729.25,1419365.0,73.86999999999989,58.159999999999854,2761.124285714286,2800.6349999999998,2828.705238095238,76.82116263483772
2021-10-04,2713.99,2714.0,2623.33,2675.3,2675.3,1576495.0,90.67000000000007,-38.6899999999996,2738.0914285714284,2786.8621428571428,2818.7490476190474,74.58233133669036
2021-10-05,2680.0,2747.24,2680.0,2723.54,2723.54,1206337.0,67.23999999999978,43.539999999999964,2719.6457142857143,2773.9635714285714,2810.560476190476,54.89265398850415
2021-10-06,2692.51,2757.04,2689.73,2747.08,2747.08,988216.0,67.30999999999995,54.56999999999971,2707.7971428571427,2763.9357142857143,2802.784285714286,30.731789574854055
2021-10-07,2777.26,2803.0891,2771.26,2783.71,2783.71,912523.0,31.829099999999926,6.449999999999818,2716.3728571428574,2760.6814285714286,2797.357619047619,42.15517750494094
2021-10-08,2798.12,2806.34,2788.5868,2801.12,2801.12,946421.0,17.753200000000106,3.0,2732.187142857143,2762.1657142857143,2792.7314285714288,50.695561841970154
2021-10-11,2796.0,2815.2725,2776.13,2776.95,2776.95,829238.0,39.14249999999993,-19.050000000000182,2748.1357142857137,2761.0242857142853,2789.8042857142855,43.14877860652444
2021-10-12,2792.75,2793.9,2725.0,2734.26,2734.26,1126751.0,68.90000000000009,-58.48999999999978,2748.8514285714286,2754.987857142857,2783.3738095238095,42.823634606945056
2021-10-13,2755.0,2771.0,2739.53,2758.0,2758.0,819664.0,31.4699999999998,3.0,2760.6657142857143,2749.378571428572,2778.13,27.98816527096451
2021-10-14,2799.04,2833.03,2786.78,2828.24,2828.24,1071878.0,46.25,29.199999999999818,2775.6228571428574,2747.6342857142854,2774.5166666666664,32.46017288626486
2021-10-15,2844.0,2844.0,2821.29,2833.5,2833.5,1062668.0,22.710000000000036,-10.5,2787.968571428571,2747.882857142857,2771.9466666666667,36.03269183601224
2021-10-18,2824.27,2859.975,2824.27,2859.21,2859.21,828360.0,35.70499999999993,34.940000000000055,2798.754285714286,2757.5635714285713,2773.372380952381,44.78283445586454
2021-10-19,2865.83,2882.14,2861.92,2876.44,2876.44,765792.0,20.2199999999998,10.610000000000127,2809.5142857142855,2770.8507142857147,2777.9485714285715,53.62220306833112
2021-10-20,2884.45,2884.955,2838.24,2848.3,2848.3,896975.0,46.715000000000146,-36.149999999999636,2819.707142857143,2783.9214285714284,2780.585238095238,53.180012759865036
2021-10-21,2843.84,2856.99,2832.74,2855.61,2855.61,742496.0,24.25,11.769999999999982,2837.042857142857,2792.9471428571424,2782.3395238095236,38.411791902218916
2021-10-22,2807.02,2831.17,2743.41,2772.5,2772.5,1509132.0,87.76000000000022,-34.51999999999998,2839.1142857142854,2799.89,2779.290476190476,33.51806968240565
2021-10-25,2776.21,2784.116,2734.97,2775.46,2775.46,1054085.0,49.146000000000186,-0.75,2831.5742857142855,2803.5985714285716,2775.6142857142854,41.38522838607942
2021-10-26,2812.12,2816.79,2780.11,2793.44,2793.44,1412937.0,36.679999999999836,-18.679999999999836,2825.8514285714286,2806.91,2773.872380952381,43.77533644586776
2021-10-27,2798.05,2982.36,2798.05,2928.55,2928.55,2592546.0,184.30999999999995,130.5,2835.7571428571428,2817.2557142857145,2783.6280952380953,58.0876070300086
2021-10-28,2945.98,2948.49,2895.27,2922.58,2922.58,1620903.0,53.2199999999998,-23.40000000000009,2842.3485714285716,2825.9314285714286,2794.6833333333334,65.60488508956885
2021-10-29,2910.4,2972.26,2903.33,2965.41,2965.41,1447725.0,68.93000000000029,55.00999999999976,2859.0785714285716,2839.3928571428573,2808.9738095238095,80.59513124841229
2021-11-01,2963.3,2967.99,2871.59,2875.48,2875.48,1578447.0,96.39999999999964,-87.82000000000016,2861.917142857143,2849.48,2815.937142857143,80.80225300369167
2021-11-02,2896.1877,2938.41,2892.82,2917.26,2917.26,1054648.0,45.58999999999969,21.07230000000027,2882.597142857143,2860.855714285714,2827.4590476190474,72.16623649929738
2021-11-03,2925.5,2938.21,2901.07,2935.8,2935.8,894330.0,37.13999999999987,10.300000000000182,2905.502857142858,2868.5385714285717,2837.5666666666666,56.16533412291864
2021-11-04,2944.0,2999.0,2932.7,2973.66,2973.66,1235040.0,66.30000000000018,29.659999999999854,2931.2485714285713,2878.5499999999997,2848.3561904761905,32.5952145917436
2021-11-05,2987.07,3011.4145,2973.04,2984.82,2984.82,1020407.0,38.3744999999999,-2.25,2939.287142857143,2887.522142857143,2857.9328571428573,38.26437277423467
2021-11-08,3000.0,3020.6899,2982.4,2987.03,2987.03,919407.0,38.28989999999976,-12.9699999999998,2948.4942857142855,2895.421428571429,2866.785714285714,41.21452974256516
2021-11-09,2994.92,3007.57,2950.14,2984.97,2984.97,842214.0,57.43000000000029,-9.950000000000273,2951.2885714285717,2905.183571428572,2876.691428571429,43.169250023773394
2021-11-10,2960.195,2973.9999,2906.5,2932.52,2932.52,1135416.0,67.4998999999998,-27.675000000000182,2959.4371428571426,2910.6771428571433,2886.132380952381,29.782629564991314
2021-11-11,2942.14,2970.045,2933.89,2934.96,2934.96,623155.0,36.1550000000002,-7.179999999999836,2961.9657142857145,2922.281428571429,2894.5590476190473,26.132653811545005
2021-11-12,2956.63,2997.19,2929.08,2992.91,2992.91,849970.0,68.11000000000013,36.279999999999745,2970.1242857142856,2937.8135714285713,2902.400476190476,25.509677155294447
2021-11-15,3000.0,3009.54,2973.05,2987.76,2987.76,812367.0,36.48999999999978,-12.239999999999782,2972.138571428571,2951.6935714285714,2909.7461904761903,26.37731817834458
2021-11-16,2983.41,2996.65,2967.0,2981.52,2981.52,862743.0,29.65000000000009,-1.8899999999998727,2971.6671428571426,2955.477142857143,2915.5704761904763,26.141328526660086
2021-11-17,2984.58,2992.52,2971.26,2981.24,2981.24,764541.0,21.259999999999764,-3.3400000000001455,2970.84,2959.6671428571426,2920.560952380952,25.661408768731267
